sku,n_obs,n_eval,perfil,incumbente_mase,incumbente_mape,incumbente_me,naive_mase,naive_mape,naive_me,herramienta_metodo,herramienta_mase,herramienta_mape,herramienta_me,mejora_vs_incumbente_pct,supera_incumbente,supera_naive
PRODUCTO-SINT-16,36,6,sin tendencia,0.6480544914100912,6.901532924570637,-118.5977777777777,0.7126222324881549,7.425776426592661,-148.4666666666667,auto_arima,0.47391081947760105,4.847720273068586,107.15338841346943,26.871763754553072,True,True
PRODUCTO-SINT-17,42,6,tendencia,0.7019384300163949,15.62701711851878,-2.5161111111111722,0.9294737396011646,20.763885331859655,55.89166666666665,auto_arima,0.8481440250573115,17.990025751953972,116.55842660949838,-20.828834665385354,False,True
PRODUCTO-SINT-18,36,6,sin tendencia,1.1172085395818683,20.39083713331683,-489.34388888888867,0.7382824444661755,13.099190274898135,-178.58166666666662,auto_arima,0.9328524446645505,17.407969266755533,-346.5712114099244,16.501493533724307,True,False
PRODUCTO-SINT-19,42,6,sin tendencia+estacional,1.4514956097205525,12.569286738981802,347.5394444444444,1.5021532407913434,12.860242257981078,178.795,auto_arima,1.056256183849306,8.790515600860704,356.2489882126551,27.2298051213079,True,True
PRODUCTO-SINT-20,42,6,sin tendencia,1.9350562868056198,204.59073684565035,441.0705555555555,2.410206136062141,293.27466868539494,-0.7400000000000849,auto_arima,1.6699016225949999,96.32843709595043,1532.6763102979696,13.702684827237547,True,True
PRODUCTO-SINT-21,36,6,sin tendencia,0.796267073259192,9.84853201253076,-82.17222222222226,1.1304713331613578,13.864566419160978,-29.136666666666617,ses,0.763347338661561,9.655558625239824,-180.1262495167318,4.134257927166017,True,True
PRODUCTO-SINT-22,42,6,sin tendencia,0.8875562633941075,7.844869348510721,-111.75999999999999,0.9876814921931484,8.912688275884694,-18.341666666666697,auto_arima,0.7251195006517699,6.686429856898841,-160.97932889483226,18.30157359502625,True,True
PRODUCTO-SINT-23,36,6,sin tendencia,1.0618382601595626,17.293582354821723,-262.94444444444434,0.9904839613952188,16.28456824222404,-101.84666666666665,auto_arima,0.7959354976404756,13.577343584971842,-88.34003942884878,25.04173869936932,True,True
PRODUCTO-SINT-24,36,6,sin tendencia,1.0541603524357246,14.233971267174706,-497.33222222222213,0.7403450229572384,10.300371656902003,-147.875,auto_arima,0.7093430166857001,9.279210313753893,289.59743949072754,32.71014081997066,True,True
PRODUCTO-SINT-25,30,6,sin tendencia,0.8322051841830741,177.8421363756118,-518.5977777777777,1.1133157017691562,197.28205816481895,-24.214999999999993,ses,0.6468212508753979,79.17354261877364,660.6922546581256,22.27622908762056,True,True
PRODUCTO-SINT-26,30,6,tendencia,0.7505056064293242,6.944086497256485,-14.851111111111114,1.0469865856812262,9.579580250666844,-7.966666666666659,ses,0.8711733995780715,8.04291898014267,-11.981450572469953,-16.078200098044267,False,True
PRODUCTO-SINT-27,36,6,tendencia,1.603108127997473,11.870112202781096,-59.26944444444439,0.8813821939346944,6.681757011742278,-54.90166666666664,naive,0.8813821939346944,6.681757011742278,-54.90166666666664,45.02041512098904,True,False
PRODUCTO-SINT-28,42,6,sin tendencia+estacional,1.8413009759706016,13.570779817692289,213.83388888888894,1.2977593242179108,10.313934710237655,129.73333333333332,seasonal_naive,1.4840289211826185,10.568635682396717,38.200000000000045,19.403240396353723,True,False
