unique_id,n_obs,estado,regimen,ganador,mase_naive,mase_seasonal_naive,mase_ganador,structural_filter
M476,48,ok,estacional_plano,seasonal_naive,4.249966445035092,1.6968950197379717,1.6968950197379717,True
M935,48,ok,estacional_con_tendencia,auto_sarima,1.1694677914687426,1.6512821382572032,0.33529725976006713,True
M78,48,ok,no_estacional_con_tendencia,holt,0.5438596491228069,0.7631578947368421,0.6278926082082612,True
M87,48,ok,no_estacional_plano,linear_regression,1.565304755525787,1.7026121902210314,0.7993037510746352,True
M496,48,ok,estacional_con_tendencia,auto_theta,1.0,0.6851851851851851,0.6830394230824106,True
M535,48,ok,no_estacional_con_tendencia,linear_regression,0.5647682119205298,0.5086534216335541,0.36140121562215544,True
M110,48,ok,estacional_con_tendencia,ses,0.5642633228840126,1.1755485893416928,0.5194741196273303,True
M1074,48,ok,estacional_con_tendencia,auto_arima,2.7941176470588234,1.2745098039215685,3.0585065185471283,True
M383,48,ok,estacional_con_tendencia,auto_theta,0.6194498592159411,0.571799870045484,0.4731026174326407,True
M258,48,ok,no_estacional_con_tendencia,linear_regression,0.5844298245614036,0.8391812865497076,0.53651301940713,True
M736,48,ok,no_estacional_plano,ses,0.5151377535573721,0.9744171964880411,0.5115163412634728,True
M1282,48,ok,no_estacional_con_tendencia,holt,0.586552217453505,1.7889842632331903,0.6202221424954552,True
M64,48,ok,no_estacional_plano,mean,0.6091987365435442,0.5391607039257397,0.3553073488887157,True
M970,48,ok,no_estacional_con_tendencia,holt,0.7609966946351385,3.7085558098143907,0.5683693316098908,True
M394,48,ok,estacional_con_tendencia,holt_winters,0.8856259659969089,0.6877897990726429,0.9455947579627759,True
M747,48,ok,estacional_plano,seasonal_naive,1.4860005894488655,0.6147951665193044,0.6147951665193044,True
M132,48,ok,estacional_plano,auto_arima,0.8896103896103896,1.2402597402597402,0.7476251541733588,True
M216,48,ok,no_estacional_plano,linear_regression,0.9046095800524934,1.1635498687664043,1.0057751272238495,True
M85,48,ok,no_estacional_con_tendencia,naive,1.2589427033871479,2.336182336182336,1.2589427033871479,True
M1395,48,ok,estacional_plano,auto_sarima,1.6880341880341878,1.7094017094017095,1.3042885570285747,True
M979,48,ok,no_estacional_plano,holt,0.8618618618618619,5.609344638756404,0.8529219376356607,True
M135,48,ok,no_estacional_con_tendencia,auto_arima,1.1430303030303028,1.2672727272727273,0.8296126313934212,True
M812,48,ok,no_estacional_con_tendencia,linear_regression,0.37389504307933313,3.6059080228264517,0.593541695401863,True
