unique_id,n_obs,estado,regimen,ganador,mase_naive,mase_seasonal_naive,mase_ganador,max_len,structural_filter
M607,36,ok,no_estacional_plano,linear_regression,0.5781931464174455,1.9815160955347872,1.5361018207342643,36,True
M279,36,ok,no_estacional_plano,weighted_moving_average,0.8962472406181016,1.002943340691685,0.6203044518027961,36,True
M1121,36,ok,no_estacional_con_tendencia,naive,0.6396195438892638,4.518251255044033,0.6396195438892638,36,True
M428,36,ok,estacional_plano,ses,0.691290111329404,0.6931892599869025,0.8265574181475062,36,True
M1035,36,ok,no_estacional_con_tendencia,ses,0.634688456594152,0.9403440365343503,0.6145578911497881,36,True
M270,36,ok,no_estacional_plano,ses,0.9125172890733058,1.4239280774550482,0.9241596893230403,36,True
M1073,36,ok,no_estacional_plano,naive,1.4518554062699935,4.92146513115803,1.4518554062699935,36,True
M587,36,ok,no_estacional_plano,ses,1.3948545861297539,0.8920581655480985,1.061879490477357,36,True
M391,36,ok,no_estacional_plano,mean,1.1902985074626864,1.159778032912361,1.4953514931154748,36,True
M225,36,ok,no_estacional_plano,weighted_moving_average,0.6539741219963032,0.578927911275416,0.7172273567467653,36,True
M401,36,ok,estacional_plano,auto_arima,0.5761656228253306,0.7113778705636743,0.6440973658488897,36,True
M1273,36,ok,no_estacional_plano,ses,0.6387861983980283,2.6578866296980896,0.6435628937804219,36,True
M891,36,ok,no_estacional_plano,naive,1.120309050772627,4.001103752759382,1.120309050772627,36,True
M1323,36,ok,no_estacional_con_tendencia,linear_regression,1.345469682352089,1.5717092184285741,0.7560816301492382,36,True
M434,36,ok,no_estacional_plano,mean,0.9511954159257063,0.893894487255483,0.8729246733134507,36,True
M142,36,ok,no_estacional_con_tendencia,holt,0.6852551984877127,1.1786389413988658,0.6521820486350517,36,True
M943,36,ok,estacional_plano,auto_arima,1.2799550645079099,3.3260023625877286,1.3932331433499567,36,True
M493,36,ok,no_estacional_plano,auto_arima,0.5899739503210059,6.04291986589999,1.1879940674739715,36,True
M1256,36,ok,no_estacional_plano,naive,0.6742175856929955,0.8859910581222057,0.6742175856929955,36,True
M75,36,ok,no_estacional_con_tendencia,holt,0.32533499532564664,0.3750389529448427,0.35783234611479453,36,True
M539,36,ok,no_estacional_plano,naive,0.992559523809524,2.3033854166666665,0.992559523809524,36,True
M20,36,ok,no_estacional_plano,linear_regression,1.1830543933054394,1.5066248256624826,1.347469768049718,36,True
M440,36,ok,no_estacional_plano,linear_regression,0.7346867950720112,1.0491931285788652,0.772895191592344,36,True
M214,36,ok,no_estacional_con_tendencia,weighted_moving_average,0.6310880829015544,0.7738341968911917,0.7666968911917098,36,True
M1400,36,ok,no_estacional_con_tendencia,holt,0.6807248310539964,7.051273859779729,0.6620667260467945,36,True
M1378,36,ok,no_estacional_plano,auto_arima,1.5091162319574578,0.825750541627979,0.9805906702020046,36,True
M1396,36,ok,estacional_con_tendencia,auto_arima,1.0217735550277118,0.30997624703087884,0.5741312649587887,36,True
M72,36,ok,no_estacional_con_tendencia,mean,0.9476024748646558,1.3064578499613302,1.0652549455610287,36,True
M276,36,ok,no_estacional_plano,auto_arima,0.4752861602497399,0.6085674644467569,0.2836178827004057,36,True
M522,36,ok,no_estacional_con_tendencia,naive,0.44006349206349205,1.1066031746031746,0.44006349206349205,36,True
