n,regimen,seed,estado,outer_block,n_eval,herramienta_metodo,naive_mase,naive_mape,naive_mad,naive_mse,naive_me,seasonal_naive_mase,seasonal_naive_mape,seasonal_naive_mad,seasonal_naive_mse,seasonal_naive_me,herramienta_mase,herramienta_mape,herramienta_mad,herramienta_mse,herramienta_me,prophet_estado,prophet_mase,prophet_mape,prophet_mad,prophet_mse,prophet_me,lightgbm_estado,lightgbm_mase,lightgbm_mape,lightgbm_mad,lightgbm_mse,lightgbm_me,rep
48,plano,20312267,ok,6,6,ses,1.0008682070912154,10.601386566347477,96.48833333333334,11068.91591666667,-24.964999999999993,1.0957287921759318,11.639828848151739,105.63333333333333,14353.790499999996,-64.5433333333333,0.7882188442140773,8.544450100992886,75.98794930371024,7541.280114459085,-22.562419678820657,ok,1.1973303672501838,12.602746741280827,115.42819600705865,14950.33027898462,-14.26886099354376,ok,1.2455722200081418,13.697634222180527,120.07893417273125,17400.021391392216,-73.51425436250162,0
48,tendencia,20312166,ok,6,6,ses,1.2139285964827071,14.424199350784072,146.31333333333328,28472.446333333315,12.096666666666655,1.7424745565610613,22.086042838995404,210.01833333333332,52032.32868333333,-172.41166666666666,1.2049700772823015,14.345198944760106,145.23357393913182,27351.372636506665,5.123353130128066,ok,1.5745386114617121,18.47054820870827,189.7772186704418,50928.874349932965,30.032957532978156,ok,1.623320460090587,20.442648242335025,195.6568353956208,56832.376954505475,-86.74913521119187,0
48,estacional,20315142,ok,6,6,auto_arima,1.3910021755756368,15.901357299752203,624.4533333333335,414379.82780000014,-268.28666666666663,1.0242172011553567,11.347955451096588,459.7949999999999,402608.21708333347,221.5016666666667,0.9624274806060745,10.938253121191565,432.056152685281,224162.5186186972,84.96600221270835,ok,1.253561897056285,14.16053061557276,562.7531853661643,642684.6698208248,271.52151765462594,ok,0.7645076160083495,8.674200840936559,343.2053073371883,180479.73824549103,40.00623414736075,0
48,tendencia_estacional,20312482,ok,6,6,auto_theta,0.7230376484838543,8.175531274414878,99.88500000000003,13298.248783333338,-35.47833333333335,0.8523329126843754,9.635092661883302,117.74666666666661,20241.317433333323,111.27999999999999,0.7468011491145877,8.435003287256464,103.16784047930021,14254.750816973063,-39.12364953003521,ok,0.5485728028358363,6.252768884168339,75.78332127816039,7843.770313090398,-1.2498103868261978,ok,0.43524948057014495,5.080021536080056,60.128119826003434,4233.011503415876,-8.391102136093954,0
48,corta_erratica,20312864,ok,6,6,naive,2.445852905409517,391.45857980285894,4922.205000000001,41909032.444183335,-1170.325,1.555734352701276,49.591798022543124,3130.8683333333333,26074546.79901666,2899.7649999999994,2.445852905409517,391.45857980285894,4922.205000000001,41909032.444183335,-1170.325,ok,1.9315466496667226,88.01973139293794,3887.17921494585,33089947.899144888,3790.155056109272,ok,2.0590639457078526,134.28461253858995,4143.803916607963,31849349.870399296,2155.6790577339452,0
60,plano,20324267,ok,6,6,moving_average,1.2161101725712244,10.52312728582699,324.7516666666665,144724.86671666653,20.69833333333334,0.8712821396919469,7.916316266535768,232.6683333333333,70195.65041666663,-139.635,1.0982174729199246,9.72599738069494,293.2694444444442,90641.4210759258,-11.148888888888981,ok,1.1080133961554697,10.013982732315018,295.88536072327605,96936.28056571081,-80.99433265491098,ok,1.4810243992569148,13.514293152753135,395.4947116475277,196878.7746042089,-235.1189047253266,0
60,tendencia,20324166,ok,6,6,linear_regression,1.052864966852067,7.608410418402066,444.596666666667,253040.55463333367,107.9399999999999,0.9784739499182619,6.756535986196549,413.1833333333332,286537.51003333327,408.7966666666666,0.8088974401277348,5.760028459497201,341.5757166194333,162964.93478623955,186.71944827561902,ok,0.931542914386339,6.679992847222828,393.36561442575794,213186.85983671597,123.03517679519473,ok,1.2004821144945694,8.411352589308036,506.9314330906306,368174.6200886785,421.00541439726203,0
60,estacional,20327142,ok,6,6,auto_ets,1.3304887144786626,13.81505504415555,235.71666666666667,83903.88889999998,-138.99666666666664,1.3030285111444109,13.814785229109713,230.85166666666666,68115.92601666665,-115.88500000000003,0.8603355032900102,9.473317496377296,152.4217491239476,25947.644718125142,-125.40756967492148,ok,0.6389513936133837,6.764765999157875,113.20012791208346,15345.541331831097,-113.20012791208346,ok,0.8988508221739233,9.7266650366527,159.2453339346441,35366.772053534565,-159.2453339346441,0
60,tendencia_estacional,20324482,ok,6,6,auto_ets,1.0145092088438488,8.13747482056083,293.3716666666665,116271.59094999993,-129.0916666666666,2.0709017989541714,16.053685971539238,598.855,430768.3228166667,212.46166666666673,1.3312075686075346,10.28510258238478,384.9532164688158,253122.1136991049,177.2527034753867,ok,1.3479744431696734,10.518619886793394,389.8017933887743,234466.34567372283,92.9878142145016,ok,1.4804205535349673,11.714304260676261,428.1020234928108,223786.3962216763,57.4446226465343,0
60,corta_erratica,20324864,ok,6,6,ses,0.07171483372949566,17.03576277441018,57.495000000000005,3913.3947833333345,-12.781666666666675,0.5596717344065016,128.1468538924454,448.69833333333327,917543.9781166668,-431.14500000000004,0.4160151667522765,100.54508959598934,333.5264235937921,113345.40987152902,-333.5264235937921,ok,0.790814913654247,179.4865971508941,634.0097452091059,573926.2720141202,-634.0097452091059,ok,0.9826469254635295,234.97328487894688,787.8047266013365,1036318.6719016773,-787.8047266013365,0
